Brand,Product,Gender,Product_Type,Price,Sold,Available,Revenue_Potential,Demand_Score,Price_Category,Market_Segment,Sales_Performance,Brand_Popularity,Country,Inventory_Status,Stock_Turnover,Revenue_Rank
Kenneth Cole,Black Kenneth Cole Cologne for Men 3.3 / 3.4 oz Brand New In Box,Men,Cologne,24.14,9265.0,10.0,223657.1,6492.742,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Top 10%
Yves Saint Laurent,Yves Saint Laurent Y Eau de Toilette Spray For Men YSL EDT 3.3oz 100ml,Men,EDT,45.98,343.0,7.0,15771.14,253.894,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Top 25%
Gucci,Gucci Bloom for Her Eau De Parfum 0.16 fl oz 5 ml Mini EDP Travel Splash NWOB,Women,EDP,12.49,28.0,10.0,349.72,23.346999999999998,Budget,Mass Market,Medium Seller,Medium,United States,Medium Stock,Moderate,Others
Victoria's Secret,VICTORIA'S SECRET Tease Crème Cloud Eau de Parfum 3.4oz 100 ml  Women's Spray,Women,Parfum,43.0,27.0,3.0,1161.0,31.799999999999997,Mid-Range,Premium,Medium Seller,Medium,United States,Low Stock,Fast,Others
Designer Series,Perfumes for women La Vida Bella  100Ml 3.4fl.oz Long Lasting Natural Spray,Women,Unknown,13.99,10.0,10.0,139.9,11.197,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Avon,Avon Haiku REFLECTION eau de parfum spray brand new fresh 1.7 fl oz ea,Women,Parfum,12.74,13.0,10.0,165.62,12.922,Budget,Mass Market,Low Seller,Medium,United States,Medium Stock,Slow,Others
Carolina Herrera,Good Girl BLUSH by Carolina Herrera 2.7 oz. EDP Spray for Women. New. NO BOX,Women,EDP,89.99,107.0,10.0,9628.93,101.89699999999999,Luxury,Luxury,High Seller,High,United States,Medium Stock,Fast,Top 25%
Juicy Couture,Dirty English by Juicy Couture EDT Cologne for Men 3.4 oz New In Box,Men,EDT,22.6,541.0,9.0,12226.6,385.47999999999996,Budget,Mass Market,High Seller,Medium,United States,Medium Stock,Fast,Top 25%
Azzaro,CHROME LEGEND by Azzaro cologne for Men EDT 2.6 oz 2.5 New in Box,Men,EDT,16.26,644.0,12.0,10471.44,455.67799999999994,Budget,Mass Market,High Seller,Medium,United States,Medium Stock,Fast,Top 25%
Unbranded,Lattafa YARA by Lattafa 3.4 Oz (100 ml) EDP Eau De Parfum Spray for Women.,Women,EDP,16.27,38.0,300.0,618.26,31.480999999999998,Budget,Mass Market,Medium Seller,High,China,High Stock,Slow,Others
AXE,6 - AXE Fragrance Premium Body Spray 1 oz - Black Vanilla + $3 OFF Retail,Men,Unknown,11.99,15.0,5.0,179.85,14.097,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Moderate,Others
Afnan,AFNAN 9AM DIVE EAU DE PARFUM SPRAY UNISEX 3.4 Oz / 100 Ml,Men,Parfum,32.5,372.0,5.0,12090.0,270.15,Mid-Range,Premium,High Seller,Medium,United States,Medium Stock,Fast,Top 25%
Mont Blanc,Starwalker by Mont Blanc 2.5 oz EDT Cologne for Men Brand New Tester,Men,EDT,22.24,1424.0,10.0,31669.76,1003.472,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Top 25%
AS SHOW,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box,Women,EDP,59.99,8.0,0.0,479.92,23.597,Mid-Range,Premium,Low Seller,Medium,United States,Low Stock,Fast,Others
HERMÈS,TWILLY d'HERMES EAU POIVREE *  2.87 Fl Oz (85ml) EDP Spray - New Unsealed Box,Women,EDP,47.66,119.0,0.0,5671.54,97.598,Mid-Range,Premium,High Seller,Medium,United States,Low Stock,Fast,Others
Salvatore Ferragamo,Salvatore Ferragamo Acqua Essenziale Eau De Toilette Spray for Men 3.4 oz,Men,Eau De Toilette,23.0,9.0,6.0,207.0,13.2,Budget,Mass Market,Low Seller,Medium,United States,Medium Stock,Slow,Others
Moschino,MOSCHINO TOY 2 for Women Mini Perfume 0.17 oz 5 ml Eau de Parfum Splash NEW,Women,Parfum,9.95,135.0,4.0,1343.25,97.485,Budget,Mass Market,High Seller,Low,United States,Low Stock,Fast,Others
Cologne,Ferragamo - Mens Cologne NEW and Wrapped. 3.4 oz  or  1.7 oz EDT Pour Homme,Men,EDT,14.99,72.0,7.0,1079.28,54.897,Budget,Mass Market,Medium Seller,Medium,United States,Medium Stock,Fast,Others
Ralph Lauren,Polo Green by Ralph Lauren 8 / 8.0 oz EDT Cologne for Men New In Box,Men,EDT,72.56,3171.0,10.0,230087.76,2241.468,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Top 10%
Narciso Rodriguez,Narciso Rodriguez for her 3.3 fl. oz. / 100 ml Eau de Parfum Women's Fragrances,Women,Parfum,50.0,4.0,2.0,200.0,17.8,Mid-Range,Premium,Low Seller,Medium,United States,Low Stock,Slow,Others
Giorgio Arm.ani,NEW Women's My Way EDP Spray 3oz Giorgio Arm.ani Eau De Parfum Sealed/Fast Ship!,Women,EDP,38.69,3.0,10.0,116.07,13.706999999999999,Mid-Range,Premium,Low Seller,Low,China,Medium Stock,Slow,Others
Cacharel,NOA by Cacharel Perfume 3.4 oz Spray 3.3 edt New 100 ml,Women,EDT,27.06,21.0,18.0,568.26,22.817999999999998,Budget,Mass Market,Medium Seller,Low,United States,High Stock,Slow,Others
Maison Alhambra,Maison Alhambra Ladies Pink Shimmer Secret Intense EDP Spray 3.38 oz Fragrances,Women,EDP,15.97,13.0,3.0,207.61,13.891,Budget,Mass Market,Low Seller,Medium,United States,Low Stock,Moderate,Others
Lancôme,Lancome Tresor 3.4 oz EDP Romantic Women's Perfume Spray Timeless Fragrance,Women,EDP,44.99,9.0,10.0,404.91,19.797,Mid-Range,Premium,Low Seller,High,United States,Medium Stock,Slow,Others
Chanel,CHANEL ALLURE HOMME SPORT EDT 1.5ml .05fl oz x 4 SPRAY SAMPLE VIALS,Men,EDT,22.0,286.0,10.0,6292.0,206.79999999999998,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Others
Perfume,12 Women's Perfume Fragrance Samples Vials with Organza Bag Lot,Women,Unknown,25.46,58.0,10.0,1476.68,48.23799999999999,Budget,Mass Market,Medium Seller,Low,United States,Medium Stock,Fast,Others
Yardley London,LILY OF THE VALLEY by Yardley London perfume for women EDT 4.2 oz New in Box,Women,EDT,14.45,47.0,22.0,679.15,37.235,Budget,Mass Market,Medium Seller,Low,United States,High Stock,Moderate,Others
Dolce&Gabbana,Dolce & Gabbana Light Blue Forever Pour Homme 100ml / 3.3 oz EDP Spray Rare,Men,EDP,119.99,21.0,6.0,2519.79,50.697,Luxury,Luxury,Medium Seller,High,United States,Medium Stock,Moderate,Others
BRUT,Original Fragrance Cologne by Brut for Men - 5 oz Cologne,Men,Cologne,9.78,8.0,50.0,78.24,8.533999999999999,Budget,Mass Market,Low Seller,Low,United States,High Stock,Slow,Others
Bath & Body Works,BATH & BODY WORKS NIGHT BLOOMING JASMINE BODY MIST 8 FL OZ,Women,Unknown,23.95,23.0,5.0,550.85,23.284999999999997,Budget,Mass Market,Medium Seller,Low,United States,Medium Stock,Moderate,Others
Lancôme,Lancome Tresor EDP 3.4 oz Timeless Women's Perfume Spray New in Box,Women,EDP,43.99,52.0,6.0,2287.48,49.597,Mid-Range,Premium,Medium Seller,High,United States,Medium Stock,Fast,Others
Dolce&Gabbana,Dolce & Gabbana The One Luminous Night 3.3/3.4 oz Eau De Parfum 100 ml Spray Men,Men,Parfum,239.99,14.0,10.0,3359.86,81.797,Luxury,Luxury,Low Seller,High,United States,Medium Stock,Slow,Others
Paco Rabanne,One Million Royal by Paco Rabanne 1 Million Royal Cologne for Men 3.4 oz,Men,Cologne,74.99,60.0,2.0,4499.4,64.497,Mid-Range,Premium,Medium Seller,High,Hong Kong,Low Stock,Fast,Others
,Versace Pour Homme Oud Noir 3.4 oz EDP Cologne for Men New In Box,Men,EDP,55.16,3110.0,0.0,171547.59999999998,2193.548,Mid-Range,Premium,High Seller,Low,United States,Low Stock,Fast,Top 10%
Unbranded,"Cupid Charm Toilette for Men (Pheromone-Infused),Mens Cologne Fragrances Perfume",Men,Cologne,13.0,11.0,7.0,143.0,11.6,Budget,Mass Market,Low Seller,High,United States,Medium Stock,Slow,Others
Polo Ralph Lauren,Polo Green by Ralph Lauren EDT for Men 4.0 oz - 118 ml NEW IN BOX SEALED,Men,EDT,36.99,257.0,9.0,9506.43,190.99699999999999,Mid-Range,Premium,High Seller,Medium,United States,Medium Stock,Fast,Top 25%
Dana,TABU By Dana 2.3 oz/68 ml Eau De Cologne Spary For Women Sealed Pack New In Box,Women,Cologne,15.25,104.0,10.0,1586.0,77.375,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Others
VICTOR MANUELLE,VICTOR MANUELLE GOLD EAU DE PARFUM SPRAY FOR MEN 3.4 Oz / 100 ml BRAND NEW!!!,Men,Parfum,39.99,153.0,3.0,6118.47,119.097,Mid-Range,Premium,High Seller,Low,United States,Low Stock,Fast,Others
Versace,Versense By Versace EDT For Women 3.4 oz / 100 ml *NEW*,Women,EDT,38.99,19.0,10.0,740.8100000000001,24.997,Mid-Range,Premium,Low Seller,High,United States,Medium Stock,Slow,Others
Abercrombie & Fitch,Abercrombie & Fitch Fierce 6.7 oz 200 ML EAU DE COLOGNE BRAND NEW SEALED BOX,Men,Cologne,49.99,376.0,8.0,18796.24,278.197,Mid-Range,Premium,High Seller,Medium,United States,Medium Stock,Fast,Top 25%
Anna Sui,Anna Sui Ladies Sky EDT 2.5 oz (Tester) Fragrances 085715064172,Women,EDT,32.39,4.0,3.0,129.56,12.517,Mid-Range,Premium,Low Seller,Low,United States,Low Stock,Slow,Others
Giorgio Armani,My Way by Giorgio Armani 3oz 90ml EDP Perfume for Women New In Box USA,Women,EDP,49.99,54.0,2.0,2699.46,52.797,Mid-Range,Premium,Medium Seller,High,Canada,Low Stock,Fast,Others
The Body Shop,The Body Shop 'White Musk Libertine' Eau De Toilette 2oz/60ml New,Women,Eau De Toilette,19.3,10.0,10.0,193.0,12.79,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Yves Saint Laurent,Y By Yves Saint Laurent LE PARFUM 3.3 fl oz / 100 ml Spray New & Sealed In Box,Men,Parfum,60.99,27.0,2.0,1646.73,37.197,Mid-Range,Premium,Medium Seller,High,United States,Low Stock,Fast,Others
Jacques Bogart,ONE MAN SHOW HIGHLY CONCENTRATED by Jacques Bogart Cologne 3.3 / 3.4 oz NEW IN B,Men,Cologne,13.97,957.0,31.0,13369.29,674.091,Budget,Mass Market,High Seller,Low,United States,High Stock,Fast,Top 25%
Unbranded,HOGO BOSS cologne For Men 3.4 oz,Men,Cologne,100.0,27.0,10.0,2700.0,48.9,Luxury,Luxury,Medium Seller,High,United States,Medium Stock,Moderate,Others
Jean Paul Gaultier,JEAN PAUL GAULTIER CLASSIQUE edt perfume spray 3.3 oz 3.4 Women NEW tester,Women,EDT,58.94,129.0,95.0,7603.259999999999,107.982,Mid-Range,Premium,High Seller,Medium,United States,High Stock,Slow,Others
Carolina Herrera,GOOD GIRL NEW YORK By CAROLINA HERRERA Dot Drama Black EDP  2.7 Fl Oz/80ml,Women,EDP,139.99,43.0,3.0,6019.570000000001,72.097,Luxury,Luxury,Medium Seller,High,India,Low Stock,Fast,Others
Jo Malone,Jo Malone Orange Blossom  Cologne Spray Women's Eau de  - 3.4 fl oz/100ml,Women,Cologne,79.99,15.0,10.0,1199.85,34.497,Mid-Range,Premium,Low Seller,High,United States,Medium Stock,Slow,Others
Creed,Creed Silver Mountain Water 3.3 oz EDP Cologne for Men Brand New Tester,Men,EDP,160.91,386.0,0.0,62111.26,318.47299999999996,Luxury,Luxury,High Seller,Medium,United States,Low Stock,Fast,Top 10%
Burberry,BURBERRY Men's Classic 3.3 oz / 100 ml EDT Cologne Spray,Men,EDT,32.99,3.0,2.0,98.97,11.997,Mid-Range,Premium,Low Seller,High,United States,Low Stock,Slow,Others
HUGO BOSS,Boss Bottled Infinite By Hugo Boss EDP For Men 3.3 oz / 100 ml *NEW*,Men,EDP,52.99,7.0,0.0,370.93,20.797,Mid-Range,Premium,Low Seller,Low,United States,Low Stock,Fast,Others
adidas,Adidas Dynamic Pulse Cologne Men 3.4 / 3.3 oz EDT Brand New in Box,Men,EDT,11.58,17.0,10.0,196.86,15.373999999999999,Budget,Mass Market,Low Seller,Low,United States,Medium Stock,Slow,Others
Paco Rabanne,Paco Rabanne Invictus EDT 3.4 oz | Men's Cologne,Men,EDT,39.99,3.0,3.0,119.97,14.097,Mid-Range,Premium,Low Seller,High,United States,Low Stock,Slow,Others
as showed,Mens Fahrenheit Eau De Toilette Cologne Spray 3.4 fl.oz 100 ML New in Box Sealed,Men,Cologne,43.47,34.0,10.0,1477.98,36.840999999999994,Mid-Range,Premium,Medium Seller,Low,Hong Kong,Medium Stock,Moderate,Others
Gucci,Gucci Flora Gorgeous Gardenia 3.3 oz EDP Perfume for Women New In Box,Women,EDP,84.98,272.0,0.0,23114.56,215.89399999999998,Luxury,Luxury,High Seller,Medium,United States,Low Stock,Fast,Top 25%
Dolce&Gabbana,DOLCE & GABBANA Devotion Eau de Parfum Miniature Perfume in Box  .17 oz MINI,Women,Parfum,19.95,5.0,0.0,99.75,9.485,Budget,Mass Market,Low Seller,High,United States,Low Stock,Fast,Others
Afnan,Afnan Men's Penthouse Ginza EDP Spray 3.4 oz Fragrances 6290171010487,Men,EDP,19.73,5.0,3.0,98.65,9.419,Budget,Mass Market,Low Seller,Medium,United States,Low Stock,Slow,Others
Versace,"Versace 4pc Miniature Gift Set for Men Eau Fraiche, Dylan Blue, Eros, Pour Homme",Men,Unknown,29.19,1787.0,10.0,52162.53,1259.657,Budget,Mass Market,High Seller,High,United States,Medium Stock,Fast,Top 10%
Versace,Versace Eros by Gianni Versace 3.4 oz EDT Cologne for Men Tester,Men,EDT,39.77,31718.0,0.0,1261424.86,22214.531,Mid-Range,Premium,High Seller,High,United States,Low Stock,Fast,Top 10%
Amouage,Amouage Interlude by Amouage 3.4 oz EDP Cologne for Men New In Box,Men,EDP,166.18,78.0,10.0,12962.04,104.454,Luxury,Luxury,Medium Seller,Low,United States,Medium Stock,Fast,Top 25%
Joop,Joop! Men's JOOP! Homme Le Parfum EDP Spray 4.2 oz Fragrances 3616303040512,Men,EDP,38.53,33.0,3.0,1271.49,34.659,Mid-Range,Premium,Medium Seller,Low,United States,Low Stock,Fast,Others
Liz Claiborne,Curve Wave Cologne for Men by Liz Claiborne 4.2 oz New in Box / Can,Men,Cologne,17.02,3823.0,73.0,65067.46,2681.206,Budget,Mass Market,High Seller,Medium,United States,High Stock,Fast,Top 10%
Armaf,Armaf Club De Nuit Intense 5.07oz / 150ml Pure Parfum | Brand New | Sealed,Men,Parfum,56.95,700.0,10.0,39865.0,507.0849999999999,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Top 25%
Parfums de Marly,PDM PARFUMS DE MARLY DELINA EXCLUSIF 1.5ml .05fl oz x 1 PERFUME SPRAY SAMPLE,Women,Parfum,12.0,59.0,10.0,708.0,44.9,Budget,Mass Market,Medium Seller,Medium,United States,Medium Stock,Fast,Others
Thierry Mugler,Thierry Mugler Angel Women's EDP 3.4oz Scent Spray New,Women,EDP,49.99,17.0,5.0,849.83,26.897,Mid-Range,Premium,Low Seller,Medium,United States,Medium Stock,Moderate,Others
Parfums de Marly,CARLISLE by Parfums de Marly - 5ML Travel Sample Spray - TOP PDM Scent!!,Men,Parfum,19.99,6.0,4.0,119.94,10.197,Budget,Mass Market,Low Seller,Medium,United States,Low Stock,Slow,Others
Bharara,Double Bleu by Bharara cologne for men EDP 3.3 / 3.4 oz New In Box,Men,EDP,54.85,8.0,9.0,438.8,22.055,Mid-Range,Premium,Low Seller,Low,United States,Medium Stock,Slow,Others
Parfums de Marly,1 Vial SEDLEY by PARFUMS DE MARLY for Women 0.05 oz 1.5 ml Eau de Parfum Spray,Women,Parfum,8.99,126.0,5.0,1132.74,90.89699999999999,Budget,Mass Market,High Seller,Medium,United States,Medium Stock,Fast,Others
Mary Kay,Mary Kay Domain Men’s Cologne,Men,Cologne,30.0,24.0,2.0,720.0,25.799999999999997,Mid-Range,Premium,Medium Seller,Low,United States,Low Stock,Fast,Others
Dolce&Gabbana,Dolce Gabbana Light Blue Men 4.2 oz / 125 mL EDT Spray New & Sealed,Men,EDT,33.99,573.0,10.0,19476.27,411.29699999999997,Mid-Range,Premium,High Seller,High,United States,Medium Stock,Fast,Top 25%
king of kings,King of Kings Royal Blue Parfum 3.4 oz for Men is a wonderful men's fragrance,Men,Parfum,79.99,43.0,7.0,3439.5699999999997,54.096999999999994,Mid-Range,Premium,Medium Seller,Low,United States,Medium Stock,Fast,Others
Lancôme,Hypnose by Lancome 2.5 oz EDP Perfume for Women New In Box,Women,EDP,67.98,705.0,0.0,47925.9,513.8939999999999,Mid-Range,Premium,High Seller,High,United States,Low Stock,Fast,Top 10%
Robert Piguet,Fracas De Robert Piguet  Edp Spray 3.4oz/100ml New & Unbox Authentic,Women,EDP,99.0,7.0,5.0,693.0,34.6,Luxury,Luxury,Low Seller,Low,United States,Medium Stock,Slow,Others
Dana,CHANTILLY for WOMEN by DANA * Big Size 3.5 oz (104 ml) EDT Spray * NEW & SEALED,Women,EDT,24.95,171.0,7.0,4266.45,127.18499999999999,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Others
AS SHOW,Eros 3.4 oz / 100ml EDP Spray For Men New Sealed in Box,Men,EDP,35.99,51.0,10.0,1835.49,46.497,Mid-Range,Premium,Medium Seller,Medium,Hong Kong,Medium Stock,Moderate,Others
Allsaints,AllSaints collection Travel Set 0.5oz/15ml X3 sunset riot concrete rain flora m,Men,Unknown,47.99,13.0,10.0,623.87,23.497,Mid-Range,Premium,Low Seller,Low,United States,Medium Stock,Slow,Others
Clive Christian,Jump Up And Kiss Me Hedonistic (2021) by Clive Christian 2ml Vial Spray New,Men,Unknown,13.0,14.0,3.0,182.0,13.7,Budget,Mass Market,Low Seller,Low,United States,Low Stock,Moderate,Others
Huda Beauty,kayali vanilla candy rock sugar | 42 HUDA BEAUTY Sample 1.5ml on card New,Women,Unknown,14.95,17.0,0.0,254.14999999999998,16.384999999999998,Budget,Mass Market,Low Seller,Low,United States,Low Stock,Fast,Others
Creed,CREED GREEN IRISH TWEED 2.5ML MEN VIAL,Men,Unknown,9.99,141.0,10.0,1408.59,101.69699999999999,Budget,Mass Market,High Seller,Medium,United States,Medium Stock,Fast,Others
MACARENA,Version Prada Luna Rossa carbon /ATTITUDE NOIR FOR MEN 3.4 OZ FO,Men,Unknown,19.99,122.0,10.0,2438.7799999999997,91.39699999999999,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Others
Coach,Coach Love 3 oz EDP Perfume for Women New In Box,Women,EDP,56.97,254.0,10.0,14470.38,194.891,Mid-Range,Premium,High Seller,Medium,United States,Medium Stock,Fast,Top 25%
Coty Inc.,"Adidas Moves for Him Body Fragrance for Men, 2.5 Fl Oz, Liquid, Grapefruit",Men,Unknown,9.21,72.0,5.0,663.1200000000001,53.163,Budget,Mass Market,Medium Seller,Low,United States,Medium Stock,Fast,Others
Jo Malone,"Jo Malone London Cologne Spray ,Travel Size 9ml/0.3oz **Choose Your Scent** NEW",Women,Cologne,16.98,27.0,10.0,458.46000000000004,23.994,Budget,Mass Market,Medium Seller,High,United States,Medium Stock,Moderate,Others
Giorgio Armani,Giorgio Armani Acqua Di Gio 3.4 oz Men's Eau De Toilette Spray Brand New,Men,Eau De Toilette,28.99,10.0,10.0,289.9,15.697,Budget,Mass Market,Low Seller,High,United States,Medium Stock,Slow,Others
Afnan,Afnan Men's Modest Une Pour Homme EDP Spray 3.4 oz Fragrances 6290171001966,Men,EDP,24.43,16.0,3.0,390.88,18.529,Budget,Mass Market,Low Seller,Medium,United States,Low Stock,Moderate,Others
Ariana Grande,Sweet Like Candy by Ariana Grande EDP Perfume for Women 3.4 oz Brand New Tester,Women,EDP,29.54,1372.0,10.0,40528.88,969.262,Budget,Mass Market,High Seller,Medium,United States,Medium Stock,Fast,Top 25%
Dolce&Gabbana,Light Blue by Dolce & Gabbana 3.3 oz / 3.4 oz 100mL EDT Spray Brand New Sealed,Women,EDT,29.95,296.0,10.0,8865.199999999999,216.185,Budget,Mass Market,High Seller,High,United States,Medium Stock,Fast,Others
Narciso Rodriguez,NARCISO RODRIGUEZ NARCISO EAU DE PARFUM SPRAY 30 ML/1 FL.OZ.,Women,Parfum,125.0,6.0,6.0,750.0,41.7,Luxury,Luxury,Low Seller,Medium,United States,Medium Stock,Slow,Others
Lattafa,Lattafa Perfumes Fakhar Men EDP - spray Eau de Parfum 100ML (3.4 ounce),Men,EDP,23.99,10.0,10.0,239.89999999999998,14.197,Budget,Mass Market,Low Seller,Medium,United States,Medium Stock,Slow,Others
Ariana Grande,Ariana Grande Cloud Pink Eau de Parfum 3.4 oz 100 ML Brand New & Sealed Box,Women,Parfum,32.99,83.0,9.0,2738.17,67.997,Mid-Range,Premium,Medium Seller,Medium,United States,Medium Stock,Fast,Others
Versace,Versace Dylan Blue Pour Homme EDT For Men  3.4 oz / 100 ml *NEW*,Men,EDT,45.99,37.0,3.0,1701.63,39.697,Mid-Range,Premium,Medium Seller,High,United States,Low Stock,Fast,Others
Estée Lauder,BEAUTIFUL by Estee Lauder 2.5 oz edp Perfume for women New in Box,Women,EDP,29.49,458.0,10.0,13506.42,329.44699999999995,Budget,Mass Market,High Seller,Medium,United States,Medium Stock,Fast,Top 25%
Xerjoff,Naxos By Xerjoff Vial Spray 2ml New Sealed,Men,Unknown,11.99,442.0,4.0,5299.58,312.99699999999996,Budget,Mass Market,High Seller,Low,United States,Low Stock,Fast,Others
Britney Spears,MIDNIGHT FANTASY by Britney Spears for Women 3.3 / 3.4 oz edp tester,Women,EDP,16.87,626.0,36.0,10560.62,443.26099999999997,Budget,Mass Market,High Seller,Low,United States,High Stock,Fast,Top 25%
Versace,Versace Bright Crystal Eau De Toilette Rollerball Women 0.3 Oz/10 Ml,Women,Eau De Toilette,15.49,1089.0,10.0,16868.61,766.947,Budget,Mass Market,High Seller,High,United States,Medium Stock,Fast,Top 25%
Yves Saint Laurent,Yves Saint Laurent Black Opium 3oz Eau de Parfum Women's New Sealed,Women,Parfum,39.99,77.0,10.0,3079.23,65.89699999999999,Mid-Range,Premium,Medium Seller,High,United States,Medium Stock,Fast,Others
Versace,mini Yellow Diamond by Versace EDT Perfume for Women Brand New In Box,Women,EDT,9.92,5971.0,10.0,59232.32,4182.6759999999995,Budget,Mass Market,High Seller,High,United States,Medium Stock,Fast,Top 10%
Yves Saint Laurent,Yves Saint Laurent Men's Y Eau de Parfum Intense EDP Spray 3.38 oz Fragrances,Men,EDP,94.93,15.0,3.0,1423.95,38.979,Luxury,Luxury,Low Seller,High,United States,Low Stock,Moderate,Others
Calvin Klein,Eternity Flame by Calvin Klein 3.4 oz EDT Cologne for Men New In Box,Men,EDT,25.98,1536.0,10.0,39905.28,1082.994,Budget,Mass Market,High Seller,High,United States,Medium Stock,Fast,Top 25%
Lanvin,Jeanne Lanvin By Lanvin Paris Eau De Parfum Natural Spray 3.3 fl oz,Women,Parfum,12.99,43.0,10.0,558.57,33.997,Budget,Mass Market,Medium Seller,Low,United States,Medium Stock,Moderate,Others
Coach,Coach Wild Rose 3 oz EDP Perfume for Women New In Box,Women,EDP,42.28,796.0,0.0,33654.88,569.8839999999999,Mid-Range,Premium,High Seller,Medium,United States,Low Stock,Fast,Top 25%
Nautica,NAUTICA VOYAGE cologne for men EDT 6.7 oz 6.8 New in Box,Men,EDT,33.45,1391.0,127.0,46528.950000000004,983.7349999999999,Mid-Range,Premium,High Seller,Low,United States,High Stock,Fast,Top 10%
Tommy Hilfiger,Impact Tommy Hilfiger 3.4 oz EDT + Travel Spray 0.14 oz Cologne Men New In Box,Men,EDT,31.99,40.0,0.0,1279.6,37.597,Mid-Range,Premium,Medium Seller,Low,United States,Low Stock,Fast,Others
Marc Jacobs,Marc Jacobs Perfect Intense Eau De Parfum 3.3 oz 100ml-Brand New Imperfect Box,Women,Parfum,65.95,150.0,10.0,9892.5,124.785,Mid-Range,Premium,High Seller,Medium,United States,Medium Stock,Fast,Top 25%
Liz Claiborne,Curve Crush by Liz Claiborne 4.2 oz Cologne for Men Brand New Tester,Men,Cologne,16.71,7816.0,83.0,130605.36,5476.213,Budget,Mass Market,High Seller,Medium,United States,High Stock,Fast,Top 10%
Unbranded,SEALED NEW CUPID HYPNOSIS MEN’S PHEROMONE COLOGNE 1.7 OZ | MEET MORE HOT WOMEN🔥,Men,Cologne,15.99,7.0,10.0,111.93,9.697,Budget,Mass Market,Low Seller,High,United States,Medium Stock,Slow,Others
Maison Margiela,Maison Margiela Replica Sailing Day Eau de Toilette 3.4 oz New in Box US,Women,Eau De Toilette,48.88,48.0,10.0,2346.2400000000002,48.263999999999996,Mid-Range,Premium,Medium Seller,Low,United States,Medium Stock,Moderate,Others
Lancome,La Vie Est Belle by Lancome Paris 2.5 fl oz EDP Perfume for Women New In Box,Women,EDP,37.99,517.0,10.0,19640.83,373.29699999999997,Mid-Range,Premium,High Seller,Low,United States,Medium Stock,Fast,Top 25%
PRADA,Prada Paradoxe EDP Mini Bottle 7ml/.23oz,Women,EDP,19.0,0.0,10.0,0.0,5.7,Budget,Mass Market,Low Seller,Medium,United States,Medium Stock,Slow,Others
Lomani,AB SPIRIT MILLIONAIRE by Lomani men 3.3 oz 3.4 edt cologne NEW IN BOX,Men,EDT,16.39,1630.0,31.0,26715.7,1145.917,Budget,Mass Market,High Seller,Low,United States,High Stock,Fast,Top 25%
AS SHOWN,Y*S*L Libre 3 oz / 90 ml EDP Perfume Spray for Women Gift for her New in Box,Women,EDP,59.99,30.0,5.0,1799.7,38.997,Mid-Range,Premium,Medium Seller,Medium,Hong Kong,Medium Stock,Moderate,Others
Giorgio Armani,Emporio Armani Stronger With You Intensely 3.3oz EDP Spray for Men in Sealed Box,Men,EDP,94.99,420.0,10.0,39895.799999999996,322.497,Luxury,Luxury,High Seller,High,United States,Medium Stock,Fast,Top 25%
Yves Saint Laurent,Y YSL YVES SAINT LAURENT EAU DE TOILETTE 0.25 Fl. Oz. 7.5 Ml. COLLECTIBLE MINI,Men,Eau De Toilette,16.95,69.0,10.0,1169.55,53.385,Budget,Mass Market,Medium Seller,High,United States,Medium Stock,Fast,Others
Giorgio Armani,Giorgio Armani Acqua Di Gio 3.4 oz Men's Eau de Toilette Spray New Sealed BOX,Men,Eau De Toilette,27.1,28.0,8.0,758.8000000000001,27.729999999999997,Budget,Mass Market,Medium Seller,High,United States,Medium Stock,Moderate,Others
Moschino,Moschino Fresh Couture by Moschino 3.4 oz EDT Perfume for Women Tester,Women,EDT,27.54,272.0,6.0,7490.88,198.66199999999998,Budget,Mass Market,High Seller,Low,United States,Medium Stock,Fast,Others
Dior,Miss Dior Rose N'Roses by Christian Dior for women EDT 3.3 / 3.4 oz New In Box,Women,EDT,85.67,85.0,0.0,7281.95,85.201,Luxury,Luxury,Medium Seller,Medium,United States,Low Stock,Fast,Others
Dolce&Gabbana,"Dolce & Gabbana ""K (KING) INTENSE"",3.3oz, Men, EDP, Spray,2024, Sealed",Men,EDP,91.0,1.0,3.0,91.0,28.0,Luxury,Luxury,Low Seller,High,United States,Low Stock,Slow,Others
Fragonard,Gucci Bloom EDP 3.3 oz 3.4 oz | Women's Perfume Spray,Women,EDP,64.99,5.0,0.0,324.95,22.996999999999996,Mid-Range,Premium,Low Seller,Low,United States,Low Stock,Fast,Others
